566	191.5	491	170.5	539	165.5	136	163.5	246.5	568.5	188	296	195.5	259	717.5	356.5	197	224	192.5	281.5	198	212	363.5	224	608.5	331	290	173	218.5	169.5	165	150	118.5	150	170	184	223.5	294.5	227.5	195	208.5	418	210.5	293.5	287	163	568.5	220.5	216	111.5
637.5	267	563.5	244	604.5	237.5	241	256	324.5	642	353	366.5	273.5	351.5	788.5	424	275.5	274.5	295.5	357	273.5	313.5	438.5	279	685.5	384.5	363.5	227	282.5	236	213	219	184	222	237	251.5	272.5	342.5	271.5	243.5	280.5	488.5	264	337.5	340.5	213.5	616	288	264.5	180
784.5	383	667.5	313.5	707	357.5	320	324.5	415	771.5	421	466	364.5	469	891.5	544.5	338.5	366.5	395.5	505	400.5	438.5	563.5	355.5	824.5	461	435	292	350.5	302.5	267	285	238.5	274.5	314.5	317	340	411.5	350	363	343.5	543	339	478	413	268	717	364.5	340	253.5
938	549.5	781	391	808	423.5	416	465.5	543.5	869.5	544	634.5	506.5	584.5	1085	649	526.5	512	512.5	671.5	522.5	583	730.5	479	951.5	536.5	530.5	359	442	370.5	315.5	355.5	331	341.5	392.5	365.5	411.5	484	422.5	429	411.5	611.5	432.5	557	487.5	318.5	762	431	414.5	328
1191	727.5	921.5	531	927.5	539	568.5	682	746.5	1037.5	734	834.5	647	712	1277	841	718	627	676	785.5	726	749.5	860	595	1149.5	606	726	424	513	422.5	389	421	404	410	462.5	464.5	476.5	598	487.5	502	482	707.5	510	629.5	613	395	827.5	524	486.5	378.5
1259.5	826	1126	708	1129.5	718.5	762.5	750.5	948.5	1230.5	924	1052.5	844.5	839.5	1445.5	987	923	695.5	876.5	899.5	801	942	1088	788	1253	655	946	495	615.5	545.5	443.5	495.5	470.5	478.5	529.5	543.5	550	822	586.5	601	558.5	785.5	562.5	706	736.5	470.5	902.5	649	656	449.5
1329	1020	1190.5	832	1221	921.5	955	872	1143	1639.5	1119	1149.5	940	1082	1517.5	1208	1026	792.5	1068.5	1047	900	1134.5	1131	1004	1357.5	707.5	998	617	693.5	615	518	594.5	521	543.5	596.5	618.5	626	1173	654.5	674.5	635	883	702	796	807	524	974	716	900	541.5
1483.5	1218.5	1306	953.5	1349	999	1130	1026.5	1218	1853	1235	1217	1066.5	1205	1664	1278.5	1146	931	1217	1211.5	1027	1325.5	1184.5	1077.5	1610	860	1076.5	668.5	788	685.5	610	693	601	617.5	651	710	716	1223.5	725.5	750.5	808.5	959.5	926	870.5	929.5	575.5	1067	786	954	615
1579	1295	1510	1031.5	1549.5	1116	1253	1173	1339	1927	1388.5	1365.5	1233.5	1284	1833	1378.5	1263	1167.5	1412.5	1380	1242.5	1524.5	1306.5	1132	1706	1069	1170.5	819	840	734.5	683	762.5	698	746.5	727.5	776	833.5	1292.5	871.5	830	925.5	1004.5	974	943	993.5	672.5	1158.5	878.5	1005.5	710.5
1704.5	1484.5	1598.5	1110	1651	1309	1370.5	1313	1557	2054	1527.5	1470	1382	1406	1974.5	1520.5	1378	1294	1582	1620	1312.5	1588.5	1509	1255.5	1779.5	1333	1343	1061.5	909.5	837	734.5	912.5	797.5	891	806.5	930	887	1492.5	939	953	997.5	1125	1027.5	1036.5	1118.5	726	1230	974	1071.5	779.5
1901.5	1689	1677.5	1186	1770	1535.5	1465	1428	1629	2133.5	1679.5	1544	1481.5	1547	2089.5	1807	1508	1374	1673	1814.5	1489	1702.5	1580.5	1384	1897.5	1400	1422	1109.5	963.5	902.5	826	1161.5	864	1061.5	877.5	984.5	1041	1570.5	993	1018.5	1071.5	1228.5	1100	1110	1170.5	825.5	1331	1049	1120.5	851
2047	1754.5	1827	1257.5	1868.5	1589	1615.5	1554	1723	2257.5	1897	1657	1649	1636.5	2215	2094	1632	1428.5	1820	2037.5	1582.5	1841.5	1700.5	1563	2018	1450	1620	1177.5	1028	967.5	977	1229.5	1030	1113.5	941.5	1051	1135.5	1648	1070.5	1088.5	1141	1307	1195	1327	1224	879	1385.5	1114.5	1197.5	921
2166.5	1854.5	1950.5	1350	1991	1665.5	1741	1722.5	1821	2378	1962	1848.5	1799	1816	2338	2165	1731	1494	2045.5	2112.5	1703	1993.5	1894.5	1679.5	2138.5	1520.5	1719	1253	1093	1058	1207	1300.5	1098	1185.5	993.5	1121	1200	1720.5	1140.5	1156.5	1211	1372	1313.5	1476.5	1287.5	983	1435	1291.5	1294	1015
2269.5	1979	2050.5	1474	2132	1735	1932.5	1795	1966.5	2553	2101.5	2052.5	1918	1933	2432.5	2242	1872	1639.5	2189.5	2208.5	1868	2139.5	2010.5	1804.5	2305	1596.5	1770.5	1326	1158.5	1121.5	1271.5	1370	1191	1261	1044.5	1194.5	1254.5	1770.5	1236.5	1233	1287	1442.5	1363	1531	1406	1029	1525.5	1408	1386	1086
2418	2152	2244.5	1602.5	2279	1886	2131	1893.5	2070.5	2642	2248	2168.5	1994.5	2105.5	2572.5	2345	2063	1817.5	2287.5	2331.5	1958.5	2364	2258.5	1997	2471.5	1664	1815.5	1392	1253	1167	1339.5	1448.5	1282	1311	1121	1287	1353.5	1866	1359.5	1373	1435	1496	1458	1627.5	1505	1131	1647.5	1502.5	1539	1182
2572	2249	2347.5	1726.5	2417.5	2012.5	2276.5	2014	2245.5	2788.5	2458	2264.5	2121.5	2423.5	2721	2535.5	2266.5	1946.5	2384	2481.5	2104	2418.5	2325	2199	2595	1794	1886	1446.5	1327	1262.5	1430.5	1522	1328.5	1362	1174	1363.5	1466	1933	1431.5	1570.5	1503.5	1589	1509.5	1724	1574	1259.5	1775.5	1571	1766	1247.5
2677	2463	2544	1806.5	2632.5	2103	2329.5	2179.5	2436.5	3021.5	2663	2368	2248.5	2571.5	2944	2790	2336.5	2026.5	2499	2586	2199	2485.5	2455	2271.5	2670	1858.5	1936.5	1516	1418	1487	1577	1571.5	1471	1408.5	1240.5	1414.5	1664	2006.5	1483	1637	1569.5	1682.5	1585.5	1796.5	1690.5	1325.5	1877	1737.5	1819	1326
2878	2543	2670.5	1895.5	2723.5	2182.5	2396.5	2274.5	2539.5	3099.5	2704.5	2496.5	2337.5	2636	3061.5	3023	2486.5	2176	2648.5	2704	2394	2626	2651	2363	2758.5	1923.5	2016	1592.5	1468	1538.5	1676	1669	1889.5	1481	1309	1487	1813	2098	1535	1729	1643.5	1734.5	1659.5	1890	1781	1397	1930.5	1809	1896	1394.5
2969	2738	2875	2000.5	2847.5	2304	2562.5	2378	2730.5	3174	2784	2646.5	2539	2735	3163.5	3221	2639.5	2299	2851.5	2843	2521	2804.5	2753	2441.5	2872	1998.5	2069.5	1741	1587.5	1628	1743	1741.5	1936.5	1569	1359.5	1560.5	1886	2200	1589	1958	1721	1805	1752.5	2009.5	1828	1471	2005	1884	1965	1488.5
3110.5	2880.5	2954	2192.5	3014.5	2422	2783	2577	2830.5	3292.5	2907.5	2817	2613.5	2809	3403.5	3318.5	2804	2399	2979	2992	2715	2875.5	2846	2565	3044.5	2068	2161	1811	1665	1832.5	1817	1835.5	2011.5	1667	1426	1651.5	1952.5	2304	1654	2026.5	1810.5	1857.5	1875	2085	1923	1611.5	2056.5	1938.5	2043.5	1586.5
3290.5	2953	3070	2459.5	3248.5	2492	2899	2722.5	3025.5	3409.5	3052	2961.5	2707.5	2950	3471.5	3457.5	2896.5	2529	3053	3162	2869.5	3026.5	3016.5	2694.5	3248.5	2136.5	2291	1902	1738	1885	1947	1913	2065	1738	1506	1727	2021	2406	1721	2094.5	1960	1929	1952.5	2151.5	2020	1791.5	2110	2060.5	2092.5	1707
